3 3
points[25][25] = 
-0.183013 -0.683013 0.500000
0.000000 -0.707107 0.500000
0.183013 -0.683013 0.500000
0.353553 -0.612372 0.500000
0.500000 -0.500000 0.500000
0.612372 -0.353553 0.500000
0.683013 -0.183013 0.500000
0.707107 0.000000 0.500000
0.866025 0.000000 0.666667
0.836516 0.224144 0.666667
0.750000 0.433013 0.666667
0.612372 0.612372 0.666667
0.433013 0.750000 0.666667
0.224144 0.836516 0.666667
0.000000 0.866025 0.666667
-0.224144 0.836516 0.666667
-0.433013 0.750000 0.666667
-0.612372 0.612372 0.666667
-0.750000 0.433013 0.666667
-0.836516 0.224144 0.666667
-0.866025 0.000000 0.666667
-0.836516 -0.224144 0.666667
-0.750000 -0.433013 0.666667
-0.612372 -0.612372 0.666667
-0.433013 -0.750000 0.666667
-0.224144 -0.836516 0.666667
0.000000 -0.866025 0.666667
0.224144 -0.836516 0.666667
0.433013 -0.750000 0.666667
0.612372 -0.612372 0.666667
0.750000 -0.433013 0.666667
0.836516 -0.224144 0.666667
0.866025 0.000000 0.666667
0.965926 0.000000 0.833333
0.933013 0.250000 0.833333
0.836516 0.482963 0.833333
0.683013 0.683013 0.833333
0.482963 0.836516 0.833333
0.250000 0.933013 0.833333
0.000000 0.965926 0.833333
-0.250000 0.933013 0.833333
-0.482963 0.836516 0.833333
-0.683013 0.683013 0.833333
-0.836516 0.482963 0.833333
-0.933013 0.250000 0.833333
-0.965926 0.000000 0.833333
-0.933013 -0.250000 0.833333
-0.836516 -0.482963 0.833333
-0.683013 -0.683013 0.833333
-0.482963 -0.836516 0.833333
-0.250000 -0.933013 0.833333
0.000000 -0.965926 0.833333
0.250000 -0.933013 0.833333
0.482963 -0.836516 0.833333
0.683013 -0.683013 0.833333
0.836516 -0.482963 0.833333
0.933013 -0.250000 0.833333
0.965926 0.000000 0.833333
1.000000 0.000000 1.000000
0.965926 0.258819 1.000000
0.866025 0.500000 1.000000
0.707107 0.707107 1.000000
0.500000 0.866025 1.000000
0.258819 0.965926 1.000000
0.000000 1.000000 1.000000
-0.258819 0.965926 1.000000
-0.500000 0.866025 1.000000
-0.707107 0.707107 1.000000
-0.866025 0.500000 1.000000
-0.965926 0.258819 1.000000
-1.000000 0.000000 1.000000
-0.965926 -0.258819 1.000000
-0.866025 -0.500000 1.000000
-0.707107 -0.707107 1.000000
-0.500000 -0.866025 1.000000
-0.258819 -0.965926 1.000000
0.000000 -1.000000 1.000000
0.258819 -0.965926 1.000000
0.500000 -0.866025 1.000000
0.707107 -0.707107 1.000000
0.866025 -0.500000 1.000000
0.965926 -0.258819 1.000000
1.000000 0.000000 1.000000
0.965926 0.000000 1.166667
0.933013 0.250000 1.166667
0.836516 0.482963 1.166667
0.683013 0.683013 1.166667
0.482963 0.836516 1.166667
0.250000 0.933013 1.166667
0.000000 0.965926 1.166667
-0.250000 0.933013 1.166667
-0.482963 0.836516 1.166667
-0.683013 0.683013 1.166667
-0.836516 0.482963 1.166667
-0.933013 0.250000 1.166667
-0.965926 0.000000 1.166667
-0.933013 -0.250000 1.166667
-0.836516 -0.482963 1.166667
-0.683013 -0.683013 1.166667
-0.482963 -0.836516 1.166667
-0.250000 -0.933013 1.166667
0.000000 -0.965926 1.166667
0.250000 -0.933013 1.166667
0.482963 -0.836516 1.166667
0.683013 -0.683013 1.166667
0.836516 -0.482963 1.166667
0.933013 -0.250000 1.166667
0.965926 0.000000 1.166667
0.866025 0.000000 1.333333
0.836516 0.224144 1.333333
0.750000 0.433013 1.333333
0.612372 0.612372 1.333333
0.433013 0.750000 1.333333
0.224144 0.836516 1.333333
0.000000 0.866025 1.333333
-0.224144 0.836516 1.333333
-0.433013 0.750000 1.333333
-0.612372 0.612372 1.333333
-0.750000 0.433013 1.333333
-0.836516 0.224144 1.333333
-0.866025 0.000000 1.333333
-0.836516 -0.224144 1.333333
-0.750000 -0.433013 1.333333
-0.612372 -0.612372 1.333333
-0.433013 -0.750000 1.333333
-0.224144 -0.836516 1.333333
0.000000 -0.866025 1.333333
0.224144 -0.836516 1.333333
0.433013 -0.750000 1.333333
0.612372 -0.612372 1.333333
0.750000 -0.433013 1.333333
0.836516 -0.224144 1.333333
0.866025 0.000000 1.333333
0.707107 0.000000 1.500000
0.683013 0.183013 1.500000
0.612372 0.353553 1.500000
0.500000 0.500000 1.500000
0.353553 0.612372 1.500000
0.183013 0.683013 1.500000
0.000000 0.707107 1.500000
-0.183013 0.683013 1.500000
-0.353553 0.612372 1.500000
-0.500000 0.500000 1.500000
-0.612372 0.353553 1.500000
-0.683013 0.183013 1.500000
-0.707107 0.000000 1.500000
-0.683013 -0.183013 1.500000
-0.612372 -0.353553 1.500000
-0.500000 -0.500000 1.500000
-0.353553 -0.612372 1.500000
-0.183013 -0.683013 1.500000
0.000000 -0.707107 1.500000
0.183013 -0.683013 1.500000
0.353553 -0.612372 1.500000
0.500000 -0.500000 1.500000
0.612372 -0.353553 1.500000
0.683013 -0.183013 1.500000
0.707107 0.000000 1.500000
0.500000 0.000000 1.666667
0.482963 0.129410 1.666667
0.433013 0.250000 1.666667
0.353553 0.353553 1.666667
0.250000 0.433013 1.666667
0.129410 0.482963 1.666667
0.000000 0.500000 1.666667
-0.129410 0.482963 1.666667
-0.250000 0.433013 1.666667
-0.353553 0.353553 1.666667
-0.433013 0.250000 1.666667
-0.482963 0.129410 1.666667
-0.500000 0.000000 1.666667
-0.482963 -0.129410 1.666667
-0.433013 -0.250000 1.666667
-0.353553 -0.353553 1.666667
-0.250000 -0.433013 1.666667
-0.129410 -0.482963 1.666667
0.000000 -0.500000 1.666667
0.129410 -0.482963 1.666667
0.250000 -0.433013 1.666667
0.353553 -0.353553 1.666667
0.433013 -0.250000 1.666667
0.482963 -0.129410 1.666667
0.500000 0.000000 1.666667
0.258819 0.000000 1.833333
0.250000 0.066987 1.833333
0.224144 0.129410 1.833333
0.183013 0.183013 1.833333
0.129410 0.224144 1.833333
0.066987 0.250000 1.833333
0.000000 0.258819 1.833333
-0.066987 0.250000 1.833333
-0.129410 0.224144 1.833333
-0.183013 0.183013 1.833333
-0.224144 0.129410 1.833333
-0.250000 0.066987 1.833333
-0.258819 0.000000 1.833333
-0.250000 -0.066987 1.833333
-0.224144 -0.129410 1.833333
-0.183013 -0.183013 1.833333
-0.129410 -0.224144 1.833333
-0.066987 -0.250000 1.833333
0.000000 -0.258819 1.833333
0.066987 -0.250000 1.833333
0.129410 -0.224144 1.833333
0.183013 -0.183013 1.833333
0.224144 -0.129410 1.833333
0.250000 -0.066987 1.833333
0.258819 0.000000 1.833333
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
0.000000 0.000000 2.000000
-0.258819 0.000000 2.166667
-0.250000 -0.066987 2.166667
-0.224144 -0.129410 2.166667
-0.183013 -0.183013 2.166667
-0.129410 -0.224144 2.166667
-0.066987 -0.250000 2.166667
0.000000 -0.258819 2.166667
0.066987 -0.250000 2.166667
0.129410 -0.224144 2.166667
0.183013 -0.183013 2.166667
0.224144 -0.129410 2.166667
0.250000 -0.066987 2.166667
0.258819 0.000000 2.166667
0.250000 0.066987 2.166667
0.224144 0.129410 2.166667
0.183013 0.183013 2.166667
0.129410 0.224144 2.166667
0.066987 0.250000 2.166667
0.000000 0.258819 2.166667
-0.066987 0.250000 2.166667
-0.129410 0.224144 2.166667
-0.183013 0.183013 2.166667
-0.224144 0.129410 2.166667
-0.250000 0.066987 2.166667
-0.258819 0.000000 2.166667
-0.500000 0.000000 2.333333
-0.482963 -0.129410 2.333333
-0.433013 -0.250000 2.333333
-0.353553 -0.353553 2.333333
-0.250000 -0.433013 2.333333
-0.129410 -0.482963 2.333333
0.000000 -0.500000 2.333333
0.129410 -0.482963 2.333333
0.250000 -0.433013 2.333333
0.353553 -0.353553 2.333333
0.433013 -0.250000 2.333333
0.482963 -0.129410 2.333333
0.500000 0.000000 2.333333
0.482963 0.129410 2.333333
0.433013 0.250000 2.333333
0.353553 0.353553 2.333333
0.250000 0.433013 2.333333
0.129410 0.482963 2.333333
0.000000 0.500000 2.333333
-0.129410 0.482963 2.333333
-0.250000 0.433013 2.333333
-0.353553 0.353553 2.333333
-0.433013 0.250000 2.333333
-0.482963 0.129410 2.333333
-0.500000 0.000000 2.333333
-0.707107 0.000000 2.500000
-0.683013 -0.183013 2.500000
-0.612372 -0.353553 2.500000
-0.500000 -0.500000 2.500000
-0.353553 -0.612372 2.500000
-0.183013 -0.683013 2.500000
0.000000 -0.707107 2.500000
0.183013 -0.683013 2.500000
0.353553 -0.612372 2.500000
0.500000 -0.500000 2.500000
0.612372 -0.353553 2.500000
0.683013 -0.183013 2.500000
0.707107 0.000000 2.500000
0.683013 0.183013 2.500000
0.612372 0.353553 2.500000
0.500000 0.500000 2.500000
0.353553 0.612372 2.500000
0.183013 0.683013 2.500000
0.000000 0.707107 2.500000
-0.183013 0.683013 2.500000
-0.353553 0.612372 2.500000
-0.500000 0.500000 2.500000
-0.612372 0.353553 2.500000
-0.683013 0.183013 2.500000
-0.707107 0.000000 2.500000
-0.866025 0.000000 2.666667
-0.836516 -0.224144 2.666667
-0.750000 -0.433013 2.666667
-0.612372 -0.612372 2.666667
-0.433013 -0.750000 2.666667
-0.224144 -0.836516 2.666667
0.000000 -0.866025 2.666667
0.224144 -0.836516 2.666667
0.433013 -0.750000 2.666667
0.612372 -0.612372 2.666667
0.750000 -0.433013 2.666667
0.836516 -0.224144 2.666667
0.866025 0.000000 2.666667
0.836516 0.224144 2.666667
0.750000 0.433013 2.666667
0.612372 0.612372 2.666667
0.433013 0.750000 2.666667
0.224144 0.836516 2.666667
0.000000 0.866025 2.666667
-0.224144 0.836516 2.666667
-0.433013 0.750000 2.666667
-0.612372 0.612372 2.666667
-0.750000 0.433013 2.666667
-0.836516 0.224144 2.666667
-0.866025 0.000000 2.666667
-0.965926 0.000000 2.833333
-0.933013 -0.250000 2.833333
-0.836516 -0.482963 2.833333
-0.683013 -0.683013 2.833333
-0.482963 -0.836516 2.833333
-0.250000 -0.933013 2.833333
0.000000 -0.965926 2.833333
0.250000 -0.933013 2.833333
0.482963 -0.836516 2.833333
0.683013 -0.683013 2.833333
0.836516 -0.482963 2.833333
0.933013 -0.250000 2.833333
0.965926 0.000000 2.833333
0.933013 0.250000 2.833333
0.836516 0.482963 2.833333
0.683013 0.683013 2.833333
0.482963 0.836516 2.833333
0.250000 0.933013 2.833333
0.000000 0.965926 2.833333
-0.250000 0.933013 2.833333
-0.482963 0.836516 2.833333
-0.683013 0.683013 2.833333
-0.836516 0.482963 2.833333
-0.933013 0.250000 2.833333
-0.965926 0.000000 2.833333
-1.000000 0.000000 3.000000
-0.965926 -0.258819 3.000000
-0.866025 -0.500000 3.000000
-0.707107 -0.707107 3.000000
-0.500000 -0.866025 3.000000
-0.258819 -0.965926 3.000000
0.000000 -1.000000 3.000000
0.258819 -0.965926 3.000000
0.500000 -0.866025 3.000000
0.707107 -0.707107 3.000000
0.866025 -0.500000 3.000000
0.965926 -0.258819 3.000000
1.000000 0.000000 3.000000
0.965926 0.258819 3.000000
0.866025 0.500000 3.000000
0.707107 0.707107 3.000000
0.500000 0.866025 3.000000
0.258819 0.965926 3.000000
0.000000 1.000000 3.000000
-0.258819 0.965926 3.000000
-0.500000 0.866025 3.000000
-0.707107 0.707107 3.000000
-0.866025 0.500000 3.000000
-0.965926 0.258819 3.000000
-1.000000 0.000000 3.000000
-0.965926 0.000000 3.166667
-0.933013 -0.250000 3.166667
-0.836516 -0.482963 3.166667
-0.683013 -0.683013 3.166667
-0.482963 -0.836516 3.166667
-0.250000 -0.933013 3.166667
0.000000 -0.965926 3.166667
0.250000 -0.933013 3.166667
0.482963 -0.836516 3.166667
0.683013 -0.683013 3.166667
0.836516 -0.482963 3.166667
0.933013 -0.250000 3.166667
0.965926 0.000000 3.166667
0.933013 0.250000 3.166667
0.836516 0.482963 3.166667
0.683013 0.683013 3.166667
0.482963 0.836516 3.166667
0.250000 0.933013 3.166667
0.000000 0.965926 3.166667
-0.250000 0.933013 3.166667
-0.482963 0.836516 3.166667
-0.683013 0.683013 3.166667
-0.836516 0.482963 3.166667
-0.933013 0.250000 3.166667
-0.965926 0.000000 3.166667
-0.866025 0.000000 3.333333
-0.836516 -0.224144 3.333333
-0.750000 -0.433013 3.333333
-0.612372 -0.612372 3.333333
-0.433013 -0.750000 3.333333
-0.224144 -0.836516 3.333333
0.000000 -0.866025 3.333333
0.224144 -0.836516 3.333333
0.433013 -0.750000 3.333333
0.612372 -0.612372 3.333333
0.750000 -0.433013 3.333333
0.836516 -0.224144 3.333333
0.866025 0.000000 3.333333
0.836516 0.224144 3.333333
0.750000 0.433013 3.333333
0.612372 0.612372 3.333333
0.433013 0.750000 3.333333
0.224144 0.836516 3.333333
0.000000 0.866025 3.333333
-0.224144 0.836516 3.333333
-0.433013 0.750000 3.333333
-0.612372 0.612372 3.333333
-0.750000 0.433013 3.333333
-0.836516 0.224144 3.333333
-0.866025 0.000000 3.333333
-0.707107 0.000000 3.500000
-0.683013 -0.183013 3.500000
-0.612372 -0.353553 3.500000
-0.500000 -0.500000 3.500000
-0.353553 -0.612372 3.500000
-0.183013 -0.683013 3.500000
0.000000 -0.707107 3.500000
0.183013 -0.683013 3.500000
0.353553 -0.612372 3.500000
0.500000 -0.500000 3.500000
0.612372 -0.353553 3.500000
0.683013 -0.183013 3.500000
0.707107 0.000000 3.500000
0.683013 0.183013 3.500000
0.612372 0.353553 3.500000
0.500000 0.500000 3.500000
0.353553 0.612372 3.500000
0.183013 0.683013 3.500000
0.000000 0.707107 3.500000
-0.183013 0.683013 3.500000
-0.353553 0.612372 3.500000
-0.500000 0.500000 3.500000
-0.612372 0.353553 3.500000
-0.683013 0.183013 3.500000
-0.707107 0.000000 3.500000
-0.500000 0.000000 3.666667
-0.482963 -0.129410 3.666667
-0.433013 -0.250000 3.666667
-0.353553 -0.353553 3.666667
-0.250000 -0.433013 3.666667
-0.129410 -0.482963 3.666667
0.000000 -0.500000 3.666667
0.129410 -0.482963 3.666667
0.250000 -0.433013 3.666667
0.353553 -0.353553 3.666667
0.433013 -0.250000 3.666667
0.482963 -0.129410 3.666667
0.500000 0.000000 3.666667
0.482963 0.129410 3.666667
0.433013 0.250000 3.666667
0.353553 0.353553 3.666667
0.250000 0.433013 3.666667
0.129410 0.482963 3.666667
0.000000 0.500000 3.666667
-0.129410 0.482963 3.666667
-0.250000 0.433013 3.666667
-0.353553 0.353553 3.666667
-0.433013 0.250000 3.666667
-0.482963 0.129410 3.666667
-0.500000 0.000000 3.666667
-0.258819 0.000000 3.833333
-0.250000 -0.066987 3.833333
-0.224144 -0.129410 3.833333
-0.183013 -0.183013 3.833333
-0.129410 -0.224144 3.833333
-0.066987 -0.250000 3.833333
0.000000 -0.258819 3.833333
0.066987 -0.250000 3.833333
0.129410 -0.224144 3.833333
0.183013 -0.183013 3.833333
0.224144 -0.129410 3.833333
0.250000 -0.066987 3.833333
0.258819 0.000000 3.833333
0.250000 0.066987 3.833333
0.224144 0.129410 3.833333
0.183013 0.183013 3.833333
0.129410 0.224144 3.833333
0.066987 0.250000 3.833333
0.000000 0.258819 3.833333
-0.066987 0.250000 3.833333
-0.129410 0.224144 3.833333
-0.183013 0.183013 3.833333
-0.224144 0.129410 3.833333
-0.250000 0.066987 3.833333
-0.258819 0.000000 3.833333
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
0.000000 0.000000 4.000000
